Question,order,Lname,Species,mean,upSD,dnSD
4,1,AAlosa,Allis Shad,1.93069772888325E-05,0.000118956137671028,3.1335867096018E-06
4,2,AFallax,Twaite Shad,3.45510729459222E-05,0.000264387188860262,4.51525902923151E-06
4,3,LFluviatilis,River Lamprey,0.0001,0.000288779384538913,3.46285106742185E-05
4,4,PFlesus,Flounder,3.98107170553497E-05,0.000140514957867626,1.1279177793685E-05
4,5,SSalar,Salmon,0.000372759372031494,0.0017846974874901,7.78560794819771E-05
4,6,ASturio,Sturgeon,4.92388263170674E-06,1.57723986494258E-05,1.53715491915403E-06
4,7,AAnguilla,Eel,2.43424135523692E-06,3.10506962365812E-05,1.9083407761288E-07
4,8,STrutta,Sea Trout,0.000464158883361278,0.00246755544122644,8.73104877011834E-05
4,9,PMarinus,Sea Lamprey,5.45559478116852E-05,0.000204410016063319,1.45606927632614E-05
4,10,OEperlanus,Smelt,0.000121152765862859,0.00175099232411591,8.38267105690014E-06
4,11,LRamada,Mullet,4.12462638290135E-06,2.65232162901273E-05,6.41420807055683E-07
